Proteins	Common-Name	Locations	Genes of polypeptide, complex, or RNA
SYNPCC7942_2013-MONOMER	conserved hypothetical protein		SYNPCC7942_2013
SYNPCC7942_2275-MONOMER	hypothetical protein		SYNPCC7942_2275
SYNPCC7942_0890-MONOMER	glutamate synthase (ferredoxin)		SYNPCC7942_0890
SYNPCC7942_B2644-MONOMER	one component signal transduction protein		SYNPCC7942_B2644
SYNPCC7942_1262-MONOMER	uncharacterized FAD-dependent dehydrogenase		SYNPCC7942_1262
SYNPCC7942_0139-MONOMER	2-oxoglutarate decarboxylase monomer		SYNPCC7942_0139
SYNPCC7942_1629-MONOMER	conserved hypothetical protein		SYNPCC7942_1629
SYNPCC7942_0507-MONOMER	ribosome recycling factor	CCI-CYTOSOL-GN	SYNPCC7942_0507
SYNPCC7942_1997-MONOMER	high light-inducible protein	CCO-MEMBRANE	SYNPCC7942_1997
SYNPCC7942_2259-MONOMER	16S rRNA processing protein RimM	CCI-RIBOSOME-GN // CCI-CYTOSOL-GN	SYNPCC7942_2259
SYNPCC7942_0874-MONOMER	DNA/RNA helicase, DEAD/DEAH box type		SYNPCC7942_0874
SYNPCC7942_B2628-MONOMER	sulfonate ABC transporter, ATP-binding protein, putative		SYNPCC7942_B2628
SYNPCC7942_1246-MONOMER	carotene isomerase	CCO-MEMBRANE	SYNPCC7942_1246
SYNPCC7942_0122-MONOMER	EAL-domain protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0122
SYNPCC7942_1613-MONOMER	conserved hypothetical protein		SYNPCC7942_1613
SYNPCC7942_0491-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit Q	CCO-MEMBRANE	SYNPCC7942_0491
SYNPCC7942_1981-MONOMER	conserved hypothetical protein		SYNPCC7942_1981
SYNPCC7942_2243-MONOMER	Glutamate-5-semialdehyde dehydrogenase	CCI-CYTOSOL-GN	SYNPCC7942_2243
SYNPCC7942_0858-MONOMER	methyl-accepting chemotaxis sensory transducer with phytochrome sensor	CCO-MEMBRANE	SYNPCC7942_0858
SYNPCC7942_2611-MONOMER	conserved hypothetical protein		SYNPCC7942_2611
SYNPCC7942_1230-MONOMER	prolipoprotein diacylglyceryl transferase	CCI-PM-BAC-NEG-GN	SYNPCC7942_1230
SYNPCC7942_0106-MONOMER	probable nicotinate-nucleotide adenylyltransferase		SYNPCC7942_0106
SYNPCC7942_1597-MONOMER	GTP cyclohydrolase I		SYNPCC7942_1597
SYNPCC7942_0475-MONOMER	PetN	CCI-THY-MEM-CYA-GN	SYNPCC7942_0475
SYNPCC7942_1965-MONOMER	exopolyphosphatase		SYNPCC7942_1965
SYNPCC7942_2227-MONOMER	50S ribosomal subunit protein L22	CCI-RIBOSOME-GN	SYNPCC7942_2227
SYNPCC7942_0841-MONOMER	putative flavoprotein involved in K+ transport		SYNPCC7942_0841
SYNPCC7942_2595-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2595
SYNPCC7942_1214-MONOMER	Glutathione peroxidase		SYNPCC7942_1214
SYNPCC7942_0090-MONOMER	transcriptional regulator, GntR family		SYNPCC7942_0090
SYNPCC7942_1581-MONOMER	Peptidase M14, carboxypeptidase A		SYNPCC7942_1581
SYNPCC7942_0459-MONOMER	glutathione-dependent formaldehyde dehydrogenase		SYNPCC7942_0459
SYNPCC7942_1949-MONOMER	conserved hypothetical protein		SYNPCC7942_1949
SYNPCC7942_2211-MONOMER	30S ribosomal subunit protein S13	CCI-RIBOSOME-GN	SYNPCC7942_2211
SYNPCC7942_0824-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0824
SYNPCC7942_2579-MONOMER	heat shock protein DnaJ-3	CCI-CYTOSOL-GN // CCO-MEMBRANE	SYNPCC7942_2579
SYNPCC7942_1198-MONOMER	pyruvate dehydrogenase complex E3 component momomer		SYNPCC7942_1198
SYNPCC7942_0074-MONOMER	conserved hypothetical protein		SYNPCC7942_0074
SYNPCC7942_1565-MONOMER	conserved hypothetical protein		SYNPCC7942_1565
SYNPCC7942_0443-MONOMER	conserved hypothetical protein		SYNPCC7942_0443
SYNPCC7942_1933-MONOMER		CCI-CYTOSOL-GN	SYNPCC7942_1933
SYNPCC7942_2195-MONOMER	putative adenylate/guanylate cyclase	CCO-MEMBRANE	SYNPCC7942_2195
SYNPCC7942_0808-MONOMER			SYNPCC7942_0808
SYNPCC7942_2563-MONOMER	exonuclease SbcC		SYNPCC7942_2563
SYNPCC7942_1182-MONOMER	ferredoxin-plastoquinone oxidoreductase subunit J	CCI-THY-MEM-CYA-GN	SYNPCC7942_1182
SYNPCC7942_0058-MONOMER	dTDP-4-dehydrorhamnose 3,5-epimerase		SYNPCC7942_0058
SYNPCC7942_1549-MONOMER	UmuD		SYNPCC7942_1549
SYNPCC7942_0427-MONOMER	ATPase		SYNPCC7942_0427
SYNPCC7942_1917-MONOMER	permease of the drug/metabolite transporter	CCO-MEMBRANE	SYNPCC7942_1917
SYNPCC7942_2179-MONOMER	conserved hypothetical protein		SYNPCC7942_2179
SYNPCC7942_0792-MONOMER	putative multidrug efflux MFS transporter	CCO-MEMBRANE	SYNPCC7942_0792
SYNPCC7942_2547-MONOMER	conserved hypothetical protein		SYNPCC7942_2547
SYNPCC7942_1166-MONOMER	conserved hypothetical protein		SYNPCC7942_1166
SYNPCC7942_0042-MONOMER	50S ribosomal subunit protein L28	CCI-RIBOSOME-GN	SYNPCC7942_0042
SYNPCC7942_1532-MONOMER	molybdate transport system permease subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_1532
SYNPCC7942_0411-MONOMER	tryptophan synthase, alpha subunit		SYNPCC7942_0411
SYNPCC7942_1901-MONOMER	putative glycosyltransferase		SYNPCC7942_1901
SYNPCC7942_2163-MONOMER	conserved hypothetical protein		SYNPCC7942_2163
SYNPCC7942_0776-MONOMER	geranylgeranyl pyrophosphate synthase		SYNPCC7942_0776
SYNPCC7942_2531-MONOMER	translation elongation factor Ts	CCI-CYTOSOL-GN	SYNPCC7942_2531
SYNPCC7942_1150-MONOMER	conserved hypothetical protein		SYNPCC7942_1150
SYNPCC7942_0026-MONOMER	conserved hypothetical protein		SYNPCC7942_0026
SYNPCC7942_1516-MONOMER	phosphoglycerate mutase		SYNPCC7942_1516
SYNPCC7942_0395-MONOMER	hypothetical protein		SYNPCC7942_0395
SYNPCC7942_1885-MONOMER	HAD-superfamily hydrolase subfamily IA, variant 3		SYNPCC7942_1885
SYNPCC7942_2147-MONOMER	conserved hypothetical protein		SYNPCC7942_2147
SYNPCC7942_0760-MONOMER	hypothetical protein		SYNPCC7942_0760
SYNPCC7942_2515-MONOMER	putative DNA helicase		SYNPCC7942_2515
SYNPCC7942_1134-MONOMER	hypothetical protein		SYNPCC7942_1134
SYNPCC7942_0010-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0010
SYNPCC7942_1500-MONOMER	ribosomal protein L11 methyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_1500
SYNPCC7942_0379-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0379
SYNPCC7942_1869-MONOMER	probable cation efflux system protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1869
SYNPCC7942_2131-MONOMER	probable soluble lytic transglycosylase	CCI-PERI-BAC-GN // CCO-MEMBRANE	SYNPCC7942_2131
SYNPCC7942_0744-MONOMER	conserved hypothetical protein		SYNPCC7942_0744
SYNPCC7942_2499-MONOMER	Band 7 protein	CCO-MEMBRANE	SYNPCC7942_2499
SYNPCC7942_1118-MONOMER	dihydrolipoamide dehydrogenase		SYNPCC7942_1118
MONOMER490-2	antidote (SepA1)		G490-6
SYNPCC7942_1483-MONOMER	conserved hypothetical protein		SYNPCC7942_1483
SYNPCC7942_0363-MONOMER	conserved hypothetical protein		SYNPCC7942_0363
SYNPCC7942_1853-MONOMER	precorrin-2 C20-methyltransferase		SYNPCC7942_1853
SYNPCC7942_2115-MONOMER	conserved hypothetical protein		SYNPCC7942_2115
SYNPCC7942_0728-MONOMER	conserved hypothetical protein		SYNPCC7942_0728
SYNPCC7942_2483-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2483
SYNPCC7942_1102-MONOMER	conserved hypothetical protein		SYNPCC7942_1102
SYNPCC7942_1467-MONOMER	Heat shock protein DnaJ-like		SYNPCC7942_1467
SYNPCC7942_0347-MONOMER	conserved hypothetical protein		SYNPCC7942_0347
SYNPCC7942_1837-MONOMER	conserved hypothetical protein		SYNPCC7942_1837
SYNPCC7942_0712-MONOMER	C-terminal processing peptidase-2		SYNPCC7942_0712
SYNPCC7942_2467-MONOMER	shikimate 5-dehydrogenase		SYNPCC7942_2467
SYNPCC7942_1086-MONOMER	uroporphyrinogen decarboxylase	CCI-CYTOSOL-GN	SYNPCC7942_1086
SYNPCC7942_1451-MONOMER	conserved hypothetical protein		SYNPCC7942_1451
SYNPCC7942_0331-MONOMER	ATP synthase Fo, a subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_0331
SYNPCC7942_1821-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1821
SYNPCC7942_0696-MONOMER	PsbT	CCI-CYTOSOL-GN // CCI-THY-MEM-CYA-GN	SYNPCC7942_0696
SYNPCC7942_2451-MONOMER	putative type IV pilus assembly protein PilO	CCO-MEMBRANE	SYNPCC7942_2451
SYNPCC7942_1070-MONOMER	oxidoreductase aldo/keto reductase		SYNPCC7942_1070
SYNPCC7942_1435-MONOMER	2-succinyl-6-hydroxy-2, 4-cyclohexadiene-1-carboxylic acid synthase		SYNPCC7942_1435
SYNPCC7942_0315-MONOMER	adenylosuccinate lyase		SYNPCC7942_0315
SYNPCC7942_1805-MONOMER	HetI protein-like		SYNPCC7942_1805
SYNPCC7942_0680-MONOMER	sterol C5-desaturase	CCO-MEMBRANE	SYNPCC7942_0680
SYNPCC7942_2435-MONOMER	conserved hypothetical protein		SYNPCC7942_2435
SYNPCC7942_1051-MONOMER	phycobilisome linker protein L<sub>R9</sub>	CCI-THY-MEM-CYA-GN	SYNPCC7942_1051
SYNPCC7942_1419-MONOMER	light-independent protochlorophyllide reductase, iron-sulfur ATP-binding protein		SYNPCC7942_1419
SYNPCC7942_0299-MONOMER	rod shape-determining protein MreC	CCO-MEMBRANE	SYNPCC7942_0299
SYNPCC7942_1789-MONOMER	heat shock protein DnaJ-2		SYNPCC7942_1789
SYNPCC7942_0664-MONOMER	Cyclic nucleotide-binding	CCI-PM-BAC-NEG-GN	SYNPCC7942_0664
SYNPCC7942_2419-MONOMER	conserved hypothetical protein		SYNPCC7942_2419
SYNPCC7942_1034-MONOMER	Transglutaminase-like		SYNPCC7942_1034
SYNPCC7942_1403-MONOMER	Hydroxyacylglutathione hydrolase		SYNPCC7942_1403
SYNPCC7942_0283-MONOMER	Dihydrouridine synthase TIM-barrel protein nifR3		SYNPCC7942_0283
SYNPCC7942_1773-MONOMER	hypothetical protein		SYNPCC7942_1773
SYNPCC7942_1770-MONOMER	conserved hypothetical protein		SYNPCC7942_1770
SYNPCC7942_0648-MONOMER	hypothetical protein		SYNPCC7942_0648
SYNPCC7942_2400-MONOMER	conserved hypothetical protein		SYNPCC7942_2400
SYNPCC7942_1015-MONOMER	methyl-accepting chemotaxis sensory transducer	CCO-MEMBRANE	SYNPCC7942_1015
SYNPCC7942_1384-MONOMER	conserved hypothetical protein		SYNPCC7942_1384
SYNPCC7942_0264-MONOMER	undecaprenyl diphosphate synthase		SYNPCC7942_0264
SYNPCC7942_1754-MONOMER	conserved hypothetical protein		SYNPCC7942_1754
SYNPCC7942_0632-MONOMER	50S ribosomal subunit protein L10	CCI-RIBOSOME-GN	SYNPCC7942_0632
SYNPCC7942_2384-MONOMER			SYNPCC7942_2384
SYNPCC7942_0999-MONOMER	hypothetical protein		SYNPCC7942_0999
SYNPCC7942_1371-MONOMER	magnesium and cobalt transport protein CorA	CCI-PM-BAC-NEG-GN	SYNPCC7942_1371
SYNPCC7942_0248-MONOMER	ABC-type amino acid transport system, permease protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0248
SYNPCC7942_1738-MONOMER	cysteine desulfurase, SufS subfamily		SYNPCC7942_1738
SYNPCC7942_0616-MONOMER	heat-inducible transcription repressor HrcA		SYNPCC7942_0616
SYNPCC7942_2368-MONOMER	Secretion protein HlyD	CCO-MEMBRANE	SYNPCC7942_2368
SYNPCC7942_0983-MONOMER	deoxyribose-phosphate aldolase	CCI-CYTOSOL-GN	SYNPCC7942_0983
SYNPCC7942_1355-MONOMER	Two-component response regulator		SYNPCC7942_1355
SYNPCC7942_0232-MONOMER	3-phosphoshikimate 1-carboxyvinyltransferase	CCI-CYTOSOL-GN	SYNPCC7942_0232
SYNPCC7942_1722-MONOMER	Thiosulphate-binding protein	CCI-PERI-BAC-GN	SYNPCC7942_1722
SYNPCC7942_0600-MONOMER	serine/threonine protein kinase		SYNPCC7942_0600
SYNPCC7942_2090-MONOMER	Homoserine dehydrogenase		SYNPCC7942_2090
SYNPCC7942_2352-MONOMER	putative sigma 54 modulation protein/ribosomal protein S30EA	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN	SYNPCC7942_2352
SYNPCC7942_0967-MONOMER	porphobilinogen deaminase		SYNPCC7942_0967
SYNPCC7942_1339-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1339
SYNPCC7942_0216-MONOMER	putative zinc-binding oxidoreductase		SYNPCC7942_0216
SYNPCC7942_1706-MONOMER	conserved hypothetical protein		SYNPCC7942_1706
SYNPCC7942_0584-MONOMER	ribose 5-phosphate isomerase		SYNPCC7942_0584
SYNPCC7942_2074-MONOMER	heat shock protein DnaJ-1	CCI-CYTOSOL-GN	SYNPCC7942_2074
SYNPCC7942_2336-MONOMER	hypothetical protein		SYNPCC7942_2336
SYNPCC7942_0951-MONOMER	nicotinate-nucleotide pyrophosphorylase		SYNPCC7942_0951
SYNPCC7942_1323-MONOMER	formamidopyrimidine-DNA glycosylase		SYNPCC7942_1323
SYNPCC7942_0200-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0200
SYNPCC7942_1690-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1690
SYNPCC7942_0568-MONOMER	cytosine deaminase		SYNPCC7942_0568
SYNPCC7942_2058-MONOMER	pyrroline-5-carboxylate reductase	CCI-CYTOSOL-GN	SYNPCC7942_2058
SYNPCC7942_2320-MONOMER	conserved hypothetical protein		SYNPCC7942_2320
SYNPCC7942_0935-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0935
SYNPCC7942_1307-MONOMER	putative ABC-2 type transport system permease protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_1307
SYNPCC7942_0184-MONOMER	putative phosphate permease	CCO-MEMBRANE	SYNPCC7942_0184
SYNPCC7942_1674-MONOMER	conserved hypothetical protein		SYNPCC7942_1674
SYNPCC7942_0552-MONOMER	UDP-N-acetylglucosamine 2-epimerase		SYNPCC7942_0552
SYNPCC7942_2042-MONOMER	conserved hypothetical protein		SYNPCC7942_2042
SYNPCC7942_2304-MONOMER	NAD(+) kinase 1	CCI-CYTOSOL-GN	SYNPCC7942_2304
SYNPCC7942_0919-MONOMER	conserved hypothetical protein		SYNPCC7942_0919
SYNPCC7942_1291-MONOMER	transcriptional repressor		SYNPCC7942_1291
SYNPCC7942_0168-MONOMER	conserved hypothetical protein		SYNPCC7942_0168
SYNPCC7942_1658-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1658
SYNPCC7942_0536-MONOMER	acyl carrier protein	CCI-CYTOSOL-GN	SYNPCC7942_0536
SYNPCC7942_2026-MONOMER	probable glycosyltransferase	CCO-MEMBRANE	SYNPCC7942_2026
SYNPCC7942_2288-MONOMER			SYNPCC7942_2288
SYNPCC7942_0903-MONOMER	aconitate hydratase 2	CCI-CYTOSOL-GN	SYNPCC7942_0903
SYNPCC7942_B2657-MONOMER	hypothetical protein		SYNPCC7942_B2657
SYNPCC7942_1275-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1275
SYNPCC7942_0152-MONOMER	phospho-N-acetylmuramoyl-pentapeptide- transferase	CCI-PM-BAC-NEG-GN	SYNPCC7942_0152
SYNPCC7942_1642-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1642
SYNPCC7942_0520-MONOMER	carboxysome shell protein CcmP		SYNPCC7942_0520
SYNPCC7942_2010-MONOMER	PsbV	CCI-THY-MEM-CYA-GN	SYNPCC7942_2010
SYNPCC7942_2272-MONOMER	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase		SYNPCC7942_2272
SYNPCC7942_0887-MONOMER	30S ribosomal subunit protein S12	CCI-RIBOSOME-GN	SYNPCC7942_0887
SYNPCC7942_B2641-MONOMER	hypothetical protein		SYNPCC7942_B2641
SYNPCC7942_1259-MONOMER	arsenite-activated ATPase (arsA)		SYNPCC7942_1259
SYNPCC7942_0136-MONOMER	phage integrase		SYNPCC7942_0136
SYNPCC7942_1626-MONOMER	conserved hypothetical protein		SYNPCC7942_1626
SYNPCC7942_0504-MONOMER	glutamyl-tRNA reductase		SYNPCC7942_0504
SYNPCC7942_1994-MONOMER	2,3-diketo-5-methylthio-1-phosphopentane phosphatase		SYNPCC7942_1994
SYNPCC7942_2256-MONOMER	conserved hypothetical protein		SYNPCC7942_2256
SYNPCC7942_0871-MONOMER	conserved hypothetical protein		SYNPCC7942_0871
SYNPCC7942_B2625-MONOMER	conserved hypothetical protein		SYNPCC7942_B2625
SYNPCC7942_1243-MONOMER	cyclic nucleotide-binding domain (cNMP-BD) protein		SYNPCC7942_1243
SYNPCC7942_0119-MONOMER	hypothetical protein		SYNPCC7942_0119
SYNPCC7942_1610-MONOMER	pyridine nucleotide transhydrogenase beta subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_1610
SYNPCC7942_0488-MONOMER	dihydroorotase, multifunctional complex type		SYNPCC7942_0488
SYNPCC7942_1978-MONOMER	thioredoxin		SYNPCC7942_1978
SYNPCC7942_2240-MONOMER	conserved hypothetical protein YCF52		SYNPCC7942_2240
SYNPCC7942_0855-MONOMER	response regulator receiver domain protein (CheY-like)		SYNPCC7942_0855
SYNPCC7942_2608-MONOMER	conserved hypothetical protein		SYNPCC7942_2608
SYNPCC7942_1227-MONOMER	DNA repair protein RadC		SYNPCC7942_1227
SYNPCC7942_0103-MONOMER	Ankyrin		SYNPCC7942_0103
SYNPCC7942_1594-MONOMER	acyl-[acp] reductase		SYNPCC7942_1594
SYNPCC7942_0472-MONOMER	hypothetical protein	CCI-CYTOSOL-GN	SYNPCC7942_0472
SYNPCC7942_1962-MONOMER	photosystem II PsbY protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_1962
SYNPCC7942_2224-MONOMER	50S ribosomal subunit protein L29	CCI-RIBOSOME-GN	SYNPCC7942_2224
SYNPCC7942_0838-MONOMER	Elongator protein 3/MiaB/NifB		SYNPCC7942_0838
SYNPCC7942_2592-MONOMER	orotate phosphoribosyltransferase		SYNPCC7942_2592
SYNPCC7942_1211-MONOMER			SYNPCC7942_1211
SYNPCC7942_0087-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0087
SYNPCC7942_1578-MONOMER	Sec-independent protein translocase TatC subunit	CCI-PM-BAC-NEG-GN	SYNPCC7942_1578
SYNPCC7942_0456-MONOMER	PsbK	CCI-CYTOSOL-GN // CCI-THY-MEM-CYA-GN	SYNPCC7942_0456
SYNPCC7942_1946-MONOMER	conserved hypothetical protein		SYNPCC7942_1946
SYNPCC7942_2208-MONOMER	50S ribosomal subunit protein L17	CCI-RIBOSOME-GN	SYNPCC7942_2208
SYNPCC7942_0821-MONOMER	oligopeptide ABC type transporter, periplasmic oligopeptide-binding subunit	CCI-PERI-BAC-GN // CCI-PM-BAC-NEG-GN	SYNPCC7942_0821
SYNPCC7942_2576-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_2576
SYNPCC7942_1195-MONOMER	conserved hypothetical protein		SYNPCC7942_1195
SYNPCC7942_0071-MONOMER	pleiotropic regulatory protein		SYNPCC7942_0071
SYNPCC7942_1562-MONOMER	ADP-ribosylglycohydrolase-like		SYNPCC7942_1562
SYNPCC7942_0440-MONOMER	N-acetylglucosamine-6-phosphate deacetylase		SYNPCC7942_0440
SYNPCC7942_1930-MONOMER	conserved hypothetical protein		SYNPCC7942_1930
SYNPCC7942_2192-MONOMER	diguanylate cyclase (GGDEF domain)		SYNPCC7942_2192
SYNPCC7942_0805-MONOMER	conserved hypothetical protein		SYNPCC7942_0805
SYNPCC7942_2560-MONOMER	conserved hypothetical protein		SYNPCC7942_2560
SYNPCC7942_1179-MONOMER	rubredoxin	CCO-MEMBRANE	SYNPCC7942_1179
SYNPCC7942_0055-MONOMER	hypothetical protein		SYNPCC7942_0055
SYNPCC7942_1546-MONOMER	putative ribonuclease II		SYNPCC7942_1546
SYNPCC7942_0424-MONOMER	D1 protein	CCI-THY-MEM-CYA-GN	SYNPCC7942_0424
SYNPCC7942_1914-MONOMER	conserved hypothetical protein		SYNPCC7942_1914
SYNPCC7942_2176-MONOMER	conserved hypothetical protein		SYNPCC7942_2176
SYNPCC7942_0789-MONOMER	conserved hypothetical protein		SYNPCC7942_0789
SYNPCC7942_2544-MONOMER	conserved hypothetical protein		SYNPCC7942_2544
SYNPCC7942_1163-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1163
SYNPCC7942_0039-MONOMER	6-phosphogluconate dehydrogenase, decarboxylating		SYNPCC7942_0039
SYNPCC7942_1529-MONOMER	conserved hypothetical protein		SYNPCC7942_1529
SYNPCC7942_0408-MONOMER	Phosphoribosylanthranilate isomerase		SYNPCC7942_0408
SYNPCC7942_1898-MONOMER	3-isopropylmalate dehydratase, large subunit		SYNPCC7942_1898
SYNPCC7942_2160-MONOMER	serine:pyruvate aminotransferase		SYNPCC7942_2160
SYNPCC7942_0773-MONOMER	conserved hypothetical protein YCF52	CCI-CYTOSOL-GN	SYNPCC7942_0773
SYNPCC7942_2528-MONOMER	hypothetical protein		SYNPCC7942_2528
SYNPCC7942_1147-MONOMER	conserved hypothetical protein		SYNPCC7942_1147
SYNPCC7942_0023-MONOMER	calcium/proton exchanger	CCI-PM-BAC-NEG-GN	SYNPCC7942_0023
SYNPCC7942_1513-MONOMER	1-deoxy-D-xylulose 5-phosphate reductoisomerase		SYNPCC7942_1513
SYNPCC7942_0392-MONOMER		CCO-MEMBRANE	SYNPCC7942_0392
SYNPCC7942_1882-MONOMER	PsbU	CCI-THY-MEM-CYA-GN	SYNPCC7942_1882
SYNPCC7942_2144-MONOMER	nuclease (SNase-like)		SYNPCC7942_2144
SYNPCC7942_0757-MONOMER	hypothetical protein		SYNPCC7942_0757
SYNPCC7942_2512-MONOMER	Protein of unknown function UPF0004	CCI-CYTOSOL-GN	SYNPCC7942_2512
SYNPCC7942_1131-MONOMER	ferredoxin-thioredoxin reductase variable subunit		SYNPCC7942_1131
SYNPCC7942_0007-MONOMER	hypothetical protein		SYNPCC7942_0007
SYNPCC7942_1496-MONOMER	acetylglutamate kinase	CCI-CYTOSOL-GN	SYNPCC7942_1496
SYNPCC7942_0376-MONOMER	putative zinc protease protein		SYNPCC7942_0376
SYNPCC7942_1866-MONOMER	conserved hypothetical protein		SYNPCC7942_1866
SYNPCC7942_2128-MONOMER	Thiol:disulfide interchange protein txlA	CCI-PM-BAC-NEG-GN	SYNPCC7942_2128
SYNPCC7942_0741-MONOMER	phage tail protein I		SYNPCC7942_0741
SYNPCC7942_2496-MONOMER	branched-chain amino acid ABC transporter periplasmic amino acid-binding protein		SYNPCC7942_2496
SYNPCC7942_1115-MONOMER	conserved hypothetical protein		SYNPCC7942_1115
SYNPCC7942_1480-MONOMER	conserved hypothetical protein		SYNPCC7942_1480
SYNPCC7942_0360-MONOMER	conserved hypothetical protein	CCI-PM-BAC-NEG-GN	SYNPCC7942_0360
SYNPCC7942_1850-MONOMER			SYNPCC7942_1850
SYNPCC7942_2112-MONOMER	conserved hypothetical protein		SYNPCC7942_2112
SYNPCC7942_0725-MONOMER	DNA/RNA helicase, DEAD/DEAH box type		SYNPCC7942_0725
SYNPCC7942_2480-MONOMER			SYNPCC7942_2480
SYNPCC7942_1099-MONOMER	2-phytyl-1,4-naphtoquinone methyltransferase		SYNPCC7942_1099
SYNPCC7942_1464-MONOMER	SomA outer membrane protein	CCO-MEMBRANE	SYNPCC7942_1464
SYNPCC7942_0344-MONOMER	probable peptidase		SYNPCC7942_0344
SYNPCC7942_1834-MONOMER	maintenance of carboxysome distribution protein B		SYNPCC7942_1834
SYNPCC7942_0709-MONOMER	conserved hypothetical protein		SYNPCC7942_0709
SYNPCC7942_2464-MONOMER	N-acylglucosamine-6-phosphate 2-epimerase		SYNPCC7942_2464
SYNPCC7942_1083-MONOMER	monoglucosyldiacylglycerol synthase	CCO-MEMBRANE	SYNPCC7942_1083
SYNPCC7942_1448-MONOMER	quinolinate synthetase complex, A subunit	CCI-CYTOSOL-GN	SYNPCC7942_1448
SYNPCC7942_0328-MONOMER	phycobilisome anchor polypeptide L<sub>CM</sub>	CCI-THY-MEM-CYA-GN	SYNPCC7942_0328
SYNPCC7942_1818-MONOMER	conserved hypothetical protein		SYNPCC7942_1818
SYNPCC7942_0693-MONOMER	conserved hypothetical protein		SYNPCC7942_0693
SYNPCC7942_2448-MONOMER	GTP-binding protein HflX	CCI-CYTOSOL-GN	SYNPCC7942_2448
SYNPCC7942_1067-MONOMER	conserved hypothetical protein		SYNPCC7942_1067
SYNPCC7942_1432-MONOMER	3,4-dihydroxy-2-butanone 4-phosphate synthase GTP cyclohydrolase II		SYNPCC7942_1432
SYNPCC7942_0312-MONOMER	Protein of unknown function UPF0102		SYNPCC7942_0312
SYNPCC7942_1802-MONOMER	response regulator receiver domain protein (CheY-like)		SYNPCC7942_1802
SYNPCC7942_0677-MONOMER	Pex monomer		SYNPCC7942_0677
SYNPCC7942_2432-MONOMER	conserved hypothetical protein		SYNPCC7942_2432
SYNPCC7942_1047-MONOMER	phycocyanin, beta subunit	CCI-THY-MEM-CYA-GN	SYNPCC7942_1052 // SYNPCC7942_1047
SYNPCC7942_1416-MONOMER	DNA topoisomerase I		SYNPCC7942_1416
SYNPCC7942_0296-MONOMER	conserved hypothetical protein	CCO-MEMBRANE	SYNPCC7942_0296
SYNPCC7942_1786-MONOMER	conserved hypothetical protein YCF51	CCO-MEMBRANE	SYNPCC7942_1786
SYNPCC7942_0661-MONOMER	conserved hypothetical protein		SYNPCC7942_0661
SYNPCC7942_2416-MONOMER	two component transcriptional regulator, winged helix family		SYNPCC7942_2416
SYNPCC7942_1031-MONOMER	hypothetical protein	CCO-MEMBRANE	SYNPCC7942_1031
SYNPCC7942_1400-MONOMER	Endo-1,4-beta-xylanase	CCO-MEMBRANE	SYNPCC7942_1400
SYNPCC7942_0280-MONOMER	Competence-damaged protein		SYNPCC7942_0280
SYNPCC7942_0277-MONOMER	DNA ligase, NAD-dependent		SYNPCC7942_0277
SYNPCC7942_1767-MONOMER	cytochrome d ubiquinol oxidase subunit I	CCI-PM-BAC-NEG-GN	SYNPCC7942_1767
SYNPCC7942_0645-MONOMER	glutamate-1-semialdehyde-2,1-aminomutase	CCI-CYTOSOL-GN	SYNPCC7942_0645
SYNPCC7942_2397-MONOMER	conserved hypothetical protein		SYNPCC7942_2397
SYNPCC7942_1012-MONOMER	SphR response-regulator		SYNPCC7942_1012
SYNPCC7942_1381-MONOMER	ATP-binding component of ABC transporter		SYNPCC7942_1381
