Proteins,Common-Name,"Genes of polypeptide, complex, or RNA",Locations
STM4350-MONOMER,oligoribonuclease,STM4350,CCI-CYTOSOL-GN
STM0611-MONOMER,DMSO reductase,STM0611,CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN // CCI-CYTOSOL-GN
STM1673-MONOMER,putative outer membrane lipoprotein,STM1673,CCI-PM-BAC-NEG-GN
STM0255-MONOMER,"2,5-didehydrogluconate reductase B",STM0255,CCI-CYTOSOL-GN
STM3280-MONOMER,cysteine sulfinate desulfinase,STM3280,CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
STM2051-MONOMER,CoA-dependent propanal dehydrogenase,STM2051,
STM2804-MONOMER,alkylhydroperoxidase,STM2804,
STM3658-MONOMER,acetyltransferase,STM3658,CCI-PM-BAC-NEG-GN
STM2429-MONOMER,sulfate transporter,STM2429,CCI-PM-BAC-NEG-GN
STM3184-MONOMER,putative cytoplasmic protein,STM3184,
STM1001-MONOMER,putative leucine response regulator,STM1001,CCI-CYTOSOL-GN
STM3563-MONOMER,branched-chain amino acid ABC transporter permease,STM3563,CCI-PM-BAC-NEG-GN
STM0903-MONOMER,putative Fels-1 prophage chaparone,STM0903,
STM1376-MONOMER,Major outer membrane lipoprotein 2,STM1376,CCI-EXTRACELLULAR-GN // CCI-CW-BAC-NEG-GN // CCI-OUTER-MEM-GN
STM3947-MONOMER,diaminopimelate epimerase,STM3947,
STM1284-MONOMER,hypothetical protein,STM1284,
PSLT063-MONOMER,putative cytoplasmic protein,PSLT063,
STM4334-MONOMER,elongation factor P,STM4334,CCI-CYTOSOL-GN
STM1656-MONOMER,zinc transporter,STM1656,CCI-PM-BAC-NEG-GN
STM4046-MONOMER,L-rhamnose isomerase,STM4046,CCI-CYTOSOL-GN
STM0232-MONOMER,acetyl-CoA carboxylase carboxyl transferase subunit alpha,STM0232,CCI-CYTOSOL-GN
STM2035-MONOMER,"cobyrinic acid a,c-diamide synthase",STM2035,
STM4431-MONOMER,"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)",STM4431,CCI-CYTOSOL-GN
STM2788-MONOMER,tripartite tricarboxylate transporter,STM2788,CCO-MEMBRANE
STM2407-MONOMER,putative periplasmic protein,STM2407,
STM1750-MONOMER,thymidine kinase,STM1750,CCI-CYTOSOL-GN
STM3168-MONOMER,YgiQ family radical SAM protein,STM3168,
STM3547-MONOMER,ribokinase,STM3547,CCI-CYTOSOL-GN
STM0338-MONOMER,fimbrial assembly protein,STM0338,CCI-OUTER-MEM-GN
STM0888-MONOMER,arginine transporter permease subunit,STM0888,CCI-PM-BAC-NEG-GN
STM3926-MONOMER,O-antigen translocase,STM3926,CCI-PM-BAC-NEG-GN
STM2129-MONOMER,multidrug transporter subunit,STM2129,CCI-PM-BAC-NEG-GN
STM1268-MONOMER,putative cytoplasmic protein,STM1268,
STM4318-MONOMER,GNAT family N-acetyltransferase,STM4318,
STM2887-MONOMER,EscU/YscU/HrcU family type III secretion system export apparatus switch protein,STM2887,CCI-PM-BAC-NEG-GN
STM1640-MONOMER,putative inner membrane protein,STM1640,CCI-PM-BAC-NEG-GN
STM0216-MONOMER,30S ribosomal protein S2,STM0216,CCI-RIBOSOME-GN
STM2507-MONOMER,putative inner membrane protein,STM2507,
STM2022-MONOMER,cobalt ABC transporter substrate-binding protein,STM2022,CCI-PM-BAC-NEG-GN
STM2390-MONOMER,putative cytoplasmic protein,STM2390,CCI-CYTOSOL-GN
STM0594-MONOMER,ferric enterobactin (enterochelin) transporter,STM0594,CCI-PERI-BAC-GN
STM3152-MONOMER,putative methyl-accepting chemotaxis protein,STM3152,CCI-PM-BAC-NEG-GN
STM3531-MONOMER,dihydroxy-acid dehydratase,STM3531,CCI-CYTOSOL-GN
STM3264-MONOMER,penicillin-binding protein activator,STM3264,CCI-OUTER-MEM-GN
STM0871-MONOMER,putative inner membrane protein,STM0871,CCO-MEMBRANE
STM3908-MONOMER,transcriptional regulator,STM3908,CCI-CYTOSOL-GN
STM3641-MONOMER,putative lipase,STM3641,CCO-MEMBRANE
STM1251-MONOMER,heat-shock protein,STM1251,
STM4302-MONOMER,putative cytoplasmic protein,STM4302,
STM0985-MONOMER,tetraacyldisaccharide 4'-kinase,STM0985,CCI-PM-BAC-NEG-GN
STM1624-MONOMER,DUF1338 domain-containing protein,STM1624,
STM0200-MONOMER,fimbrial protein,STM0200,CCI-PILUS-GN
STM1359-MONOMER,quinate/shikimate dehydrogenase,STM1359,CCI-CYTOSOL-GN
STM2001-MONOMER,Protein,STM2001,CCI-CYTOSOL-GN
STM2374-MONOMER,Putatiave helix-turn-helix regulatory protein,STM2374,
PSLT046-MONOMER,putative carbonic anhydrase,PSLT046,CCI-CYTOSOL-GN
STM3136-MONOMER,fructuronate reductase,STM3136,
STM2759-MONOMER,peptide ABC transporter substrate-binding protein,STM2759,CCI-PERI-BAC-GN
STM4031-MONOMER,putative cytoplasmic protein,STM4031,
STM0854-MONOMER,CoA ester lyase,STM0854,
STM3516-MONOMER,mRNA interferase,STM3516,
STM4415-MONOMER,fructose-bisphosphatase,STM4415,CCI-CYTOSOL-GN
STM3884-MONOMER,D-ribose ABC transporter substrate-binding protein,STM3884,CCI-PERI-BAC-GN
STM1232-MONOMER,adenylosuccinate lyase,STM1232,CCI-CYTOSOL-GN
STM1734-MONOMER,UPF0259 membrane protein,STM1734,CCI-PM-BAC-NEG-GN
STM4286-MONOMER,aspartyl beta-hydroxylase,STM4286,CCO-MEMBRANE
STM1608-MONOMER,tellurite resistance methyltransferase,STM1608,CCI-CYTOSOL-GN
STM0320-MONOMER,phosphoporin,STM0320,CCI-OUTER-MEM-GN
STM0184-MONOMER,polynucleotide adenylyltransferase,STM0184,
STM1982-MONOMER,helix-turn-helix transcriptional regulator,STM1982,
STM2113-MONOMER,colanic acid biosynthesis glycosyltransferase,STM2113,
STM2358-MONOMER,amino-acid racemase,STM2358,CCI-CYTOSOL-GN
STM3120-MONOMER,CoA ester lyase,STM3120,
STM2871-MONOMER,EscJ/YscJ/HrcJ family type III secretion inner membrane ring protein,STM2871,CCI-OUTER-MEM-GN
STM2743-MONOMER,putative cytoplasmic protein,STM2743,
STM0838-MONOMER,ABC-F family ATPase,STM0838,
STM2491-MONOMER,thioredoxin-dependent thiol peroxidase,STM2491,CCI-CYTOSOL-GN
STM3500-MONOMER,phosphoenolpyruvate carboxykinase (ATP),STM3500,
STM3868-MONOMER,F0F1 ATP synthase subunit delta,STM3868,CCI-PM-BAC-NEG-GN
STM0577-MONOMER,PTS mannose transporter subunit IIAB,STM0577,CCO-MEMBRANE
STM1216-MONOMER,transcription-repair coupling factor,STM1216,CCI-CYTOSOL-GN
STM1592-MONOMER,putative cytoplasmic protein,STM1592,
STM2488-MONOMER,outer membrane protein assembly factor,STM2488,CCI-OUTER-MEM-GN
STM0168-MONOMER,putative multicopper oxidase,STM0168,CCI-PERI-BAC-GN
STM4273-MONOMER,cation/acetate symporter,STM4273,CCI-PM-BAC-NEG-GN
STM0574-MONOMER,PTS mannose transporter subunit IID,STM0574,CCI-PM-BAC-NEG-GN
STM1966-MONOMER,putative sulfur carrier protein,STM1966,
STM2342-MONOMER,PTS ascorbate transporter subunit IIC,STM2342,CCI-PM-BAC-NEG-GN
STM3244-MONOMER,threonine ammonia-lyase,STM3244,
STM3103-MONOMER,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,STM3103,CCI-CYTOSOL-GN
STM2727-MONOMER,Fels-2 prophage protein,STM2727,
STM3622-MONOMER,Cyclic di-GMP binding protein,STM3622,
STM0821-MONOMER,ATP-dependent DNA helicase,STM0821,
STM0965-MONOMER,dimethylsulfoxide reductase subunit B,STM0965,
STM3484-MONOMER,DNA adenine methylase,STM3484,
STM1340-MONOMER,vitamin B12 ABC transporter permease,STM1340,CCI-PM-BAC-NEG-GN
STM3852-MONOMER,6-phosphogluconate phosphatase,STM3852,
PSLT027-MONOMER,toxin addiction system: antidote,PSLT027,
STM1200-MONOMER,dTMP kinase,STM1200,CCI-CYTOSOL-GN
STM4012-MONOMER,coproporphyrinogen III oxidase,STM4012,CCI-CYTOSOL-GN
STM1576-MONOMER,nitrate/nitrite transporter,STM1576,CCI-PM-BAC-NEG-GN
STM4396-MONOMER,putative cell envelope opacity-associated protein A,STM4396,
STM0152-MONOMER,pyruvate dehydrogenase E1 component,STM0152,
STM1715-MONOMER,putative cytoplasmic protein,STM1715,
STM4257-MONOMER,putative inner membrane or exported,STM4257,CCO-MEMBRANE
STM0300-MONOMER,putative fimbriae assembly chaparone,STM0300,CCI-PERI-BAC-GN
STM1950-MONOMER,transcriptional regulator,STM1950,
STM2094-MONOMER,"dTDP-4,deoxyrhamnose 3,5 epimerase",STM2094,CCI-CYTOSOL-GN
STM2326-MONOMER,NADH-quinone oxidoreductase subunit C/D,STM2326,
STM2852-MONOMER,formate hydrogenlyase subunit,STM2852,
STM3087-MONOMER,virulence-promoting factor,STM3087,CCI-CYTOSOL-GN
STM2472-MONOMER,NADP-dependent malic enzyme,STM2472,
STM2710-MONOMER,Fels-2 prophage protein,STM2710,
STM0557-MONOMER,putative inner membrane protein,STM0557,CCO-MEMBRANE
STM0804-MONOMER,molybdenum cofactor biosynthesis protein C,STM0804,
STM3228-MONOMER,putative periplasmic protein,STM3228,
STM3468-MONOMER,bifunctional succinylornithine transaminase/acetylornithine transaminase,STM3468,CCI-CYTOSOL-GN
STM3606-MONOMER,helix-turn-helix transcriptional regulator,STM3606,
STM3835-MONOMER,DNA gyrase subunit B,STM3835,CCI-CYTOSOL-GN
STM0946-MONOMER,IS200/IS605 family transposase,STM0946,
STM1183-MONOMER,flagellar hook-associated protein,STM1183,CCI-EXTRACELLULAR-GN // CCO-CELL-PROJECTION
STM1324-MONOMER,putative cytoplasmic protein,STM1324,
STM1560-MONOMER,malto-oligosyltrehalose trehalohydrolase,STM1560,CCI-CYTOSOL-GN
PSLT009-MONOMER,resistance to complement killing,PSLT009,CCI-OUTER-MEM-GN
STM0136-MONOMER,preprotein translocase subunit,STM0136,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM3995-MONOMER,putative cytoplasmic protein,STM3995,
STM4241-MONOMER,ZnuABC operon transcriptional repressor,STM4241,CCI-CYTOSOL-GN
STM4380-MONOMER,esterase,STM4380,
STM1931-MONOMER,DJ-1 family protein,STM1931,CCI-CYTOSOL-GN
STM1699-MONOMER,putative cytoplasmic protein,STM1699,
STM0517-MONOMER,glyoxylate carboligase,STM0517,CCI-CYTOSOL-GN
STM0282-MONOMER,"putative outer membrane protein, OmpA family",STM0282,CCO-MEMBRANE
STM2310-MONOMER,isochorismate synthase,STM2310,
STM2078-MONOMER,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase,STM2078,CCI-CYTOSOL-GN
STM3071-MONOMER,putative DNA-binding protein,STM3071,
STM2836-MONOMER,transcriptional regulator,STM2836,
STM2694-MONOMER,Fels-2 prophage protein,STM2694,
STM2456-MONOMER,microcompartment protein,STM2456,
STM0787-MONOMER,imidazolonepropionase,STM0787,CCI-CYTOSOL-GN
STM0538-MONOMER,putative outer membrane protein,STM0538,
STM3451-MONOMER,sulfurtransferase,STM3451,CCI-CYTOSOL-GN
STM3211-MONOMER,RNA polymerase sigma factor,STM3211,
STM3819-MONOMER,heme ABC transporter ATP-binding protein,STM3819,CCI-PM-BAC-NEG-GN
STM3590-MONOMER,universal stress protein,STM3590,CCI-PM-BAC-NEG-GN
STM1167-MONOMER,ribosomal protein S5 alanine N-acetyltransferase,STM1167,CCI-CYTOSOL-GN
STM0930-MONOMER,hypothetical protein,STM0930,
STM1543-MONOMER,MFS transporter,STM1543,CCI-PM-BAC-NEG-GN
STM1308-MONOMER,ATP-independent periplasmic protein-refolding chaperone,STM1308,CCI-PERI-BAC-GN
STM0120-MONOMER,16S rRNA (cytosine(1402)-N(4))-methyltransferase,STM0120,CCI-CYTOSOL-GN
STM3974-MONOMER,twin arginine-targeting protein translocase,STM3974,CCI-PM-BAC-NEG-GN
STM4225-MONOMER,putative outer membrane lipoprotein,STM4225,
STM4364-MONOMER,protease modulator,STM4364,CCO-MEMBRANE
STM4598-MONOMER,OmpR family response regulator,STM4598,CCI-CYTOSOL-GN
STM1684-MONOMER,TIGR01620 family protein,STM1684,CCI-PM-BAC-NEG-GN
STM1914-MONOMER,flagellar biosynthesis protein,STM1914,CCI-PM-BAC-NEG-GN
STM0267-MONOMER,sciB domain protein,STM0267,
STM0501-MONOMER,paraslipin,STM0501,CCO-MEMBRANE
STM2062-MONOMER,serine-type D-Ala-D-Ala carboxypeptidase,STM2062,CCI-PM-BAC-NEG-GN
STM2294-MONOMER,putative inner membrane protein,STM2294,
STM2815-MONOMER,MFS transporter,STM2815,CCI-PM-BAC-NEG-GN
STM3055-MONOMER,aminomethyltransferase,STM3055,CCI-CYTOSOL-GN
STM2440-MONOMER,cysteine synthase B,STM2440,CCI-CYTOSOL-GN
STM2676-MONOMER,30S ribosomal protein S16,STM2676,CCI-RIBOSOME-GN
STM3195-MONOMER,"3,4-dihydroxy-2-butanone-4-phosphate synthase",STM3195,CCI-CYTOSOL-GN
STM0771-MONOMER,iron ABC transporter,STM0771,
STM3574-MONOMER,putative inner membrane protein,STM3574,CCO-MEMBRANE
STM3435-MONOMER,50S ribosomal protein L22,STM3435,CCI-RIBOSOME-GN
STM0914-MONOMER,putative Fels-1 phage tail component,STM0914,
STM3802-MONOMER,D-serine ammonia-lyase,STM3802,
STM1292-MONOMER,putative cytoplasmic protein,STM1292,
STM1151-MONOMER,glucan biosynthesis glucosyltransferase H,STM1151,CCI-PM-BAC-NEG-GN
STM3958-MONOMER,ATP-dependent DNA helicase,STM3958,
STM1527-MONOMER,putative inner membrane protein,STM1527,
STM4345-MONOMER,glutamate/gamma-aminobutyrate family transporter,STM4345,CCI-PM-BAC-NEG-GN
STM0104-MONOMER,DNA-binding transcriptional regulator,STM0104,CCI-CYTOSOL-GN
STM1668-MONOMER,exoprotein ZirS,STM1668,
STM4209-MONOMER,putative inner membrane protein,STM4209,
STM0244-MONOMER,Rcs stress response system protein,STM0244,CCI-OUTER-MEM-GN
STM4582-MONOMER,soluble lytic murein transglycosylase,STM4582,
STM2046-MONOMER,propanediol utilization protein,STM2046,
STM1898-MONOMER,crossover junction endodeoxyribonuclease,STM1898,
STM2799-MONOMER,DNA-binding protein,STM2799,CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
STM0485-MONOMER,YbaB/EbfC family nucleoid-associated protein,STM0485,CCI-BAC-NUCLEOID-GN // CCI-CYTOSOL-GN
STM0858-MONOMER,electron transfer flavoprotein-ubiquinone oxidoreductase,,
STM2424-MONOMER,putative LysR family transcriptional regulator,STM2424,CCI-CYTOSOL-GN
STM2278-MONOMER,ribonucleotide-diphosphate reductase 1 subunit beta,STM2278,
STM3179-MONOMER,NADPH quinone reductase,STM3179,
STM3038-MONOMER,putative metalloendopeptidase,STM3038,CCI-PM-BAC-NEG-GN // CCI-OUTER-MEM-GN
STM3558-MONOMER,prophage maintenance system killer protein,STM3558,
STM2655-MONOMER,putative cytoplasmic protein,STM2655,
STM0898A-MONOMER,Fels-1 prophage protein,STM0898A,
STM0749-MONOMER,peptidoglycan-associated lipoprotein,STM0749,CCI-OUTER-MEM-GN
STM3941-MONOMER,putative inner membrane protein,STM3941,CCO-MEMBRANE
STM3419-MONOMER,50S ribosomal protein L36,STM3419,CCI-RIBOSOME-GN
STM1279-MONOMER,AraC family transcriptional regulator,STM1279,
STM3789-MONOMER,two-component system sensor histidine kinase,STM3789,CCI-PM-BAC-NEG-GN
STM4149-MONOMER,50S ribosomal protein L11,STM4149,CCI-RIBOSOME-GN
STM4329-MONOMER,co-chaperone GroES,STM4329,CCI-CYTOSOL-GN
STM1135-MONOMER,bifunctional glyoxylate/hydroxypyruvate reductase A,STM1135,CCI-PM-BAC-NEG-GN // CCI-CYTOSOL-GN
STM2561-MONOMER,transcriptional regulator,,CCI-CYTOSOL-GN
STM1651-MONOMER,putative pyruvate-flavodoxin oxidoreductase,STM1651,
STM1511-MONOMER,NADP-dependent 3-hydroxy acid dehydrogenase,STM1511,CCI-CYTOSOL-GN
STM3915-MONOMER,thioredoxin,STM3915,CCI-CYTOSOL-GN
STM0227-MONOMER,3-hydroxyacyl-[acyl-carrier-protein] dehydratase,STM0227,CCI-CYTOSOL-GN
STM0088-MONOMER,bis(5'-nucleosyl)-tetraphosphatase (symmetrical),STM0088,CCI-CYTOSOL-GN
STM2649-MONOMER,thioredoxin,STM2649,CCI-CYTOSOL-GN
STM2030-MONOMER,cobalt-precorrin-6B C(15)-methyltransferase (decarboxylating) subunit,STM2030,
STM4193-MONOMER,23S rRNA pseudouridine synthase F,STM4193,CCI-CYTOSOL-GN
STM2783-MONOMER,nickel/cobalt efflux system,STM2783,CCI-PM-BAC-NEG-GN
STM4566-MONOMER,YjjI family glycine radical enzyme,STM4566,
STM2402-MONOMER,alanine transaminase,STM2402,
STM1882-MONOMER,damage-inducible protein,STM1882,
STM3163-MONOMER,AraC family transcriptional regulator,STM3163,
STM0469-MONOMER,50S ribosomal protein L31,STM0469,CCI-RIBOSOME-GN
STM3542-MONOMER,gluconokinase,STM3542,
STM2261-MONOMER,ferredoxin-type protein,STM2261,CCI-CYTOSOL-GN
STM0882-MONOMER,23S rRNA (uracil(747)-C(5))-methyltransferase,STM0882,
STM3021-MONOMER,putative inner membrane protein,STM3021,CCO-MEMBRANE
STM3921-MONOMER,UDP-N-acetyl-D-mannosamine dehydrogenase,STM3921,
STM2638-MONOMER,sigma-E factor regulatory protein,STM2638,CCI-PERI-BAC-GN
STM1263-MONOMER,putative periplasmic protein,STM1263,
STM0733-MONOMER,"succinate dehydrogenase, hydrophobic membrane anchor protein",STM0733,CCI-PM-BAC-NEG-GN
STM4313-MONOMER,putative cytoplasmic protein,STM4313,
STM3403-MONOMER,putative DNA topoisomerase,STM3403,
STM1635-MONOMER,amino acid ABC transporter ATP-binding protein,STM1635,
STM3773-MONOMER,putative NtrC family transcriptional regulator,STM3773,CCO-MEMBRANE
STM0211-MONOMER,hypothetical protein,STM0211,
STM1117-MONOMER,bifunctional glucose-1-phosphatase/inositol phosphatase,STM1117,CCI-PERI-BAC-GN
STM2017-MONOMER,adenosylcobinamide-GDP ribazoletransferase,STM2017,CCI-PM-BAC-NEG-GN
STM1495-MONOMER,DMSO reductase maturation protein,STM1495,
STM2385-MONOMER,ribosomal protein L3 N(5)-glutamine methyltransferase,STM2385,CCI-CYTOSOL-GN
STM0072-MONOMER,L-carnitine CoA-transferase,STM0072,CCI-CYTOSOL-GN
STM3147-MONOMER,hydrogenase 2 large subunit,STM3147,CCI-PM-BAC-NEG-GN
STM4173-MONOMER,sensory histidine kinase,STM4173,CCI-PM-BAC-NEG-GN
STM3525-MONOMER,thiosulfate sulfurtransferase,STM3525,CCI-CYTOSOL-GN
STM4547-MONOMER,putative LuxR/UhpA family transcriptional regulator,STM4547,
STM2772-MONOMER,DNA-invertase,STM2772,
STM1868-MONOMER,phage tail protein,STM1868,
STM0866-MONOMER,multidrug transporter,STM0866,CCI-PM-BAC-NEG-GN
STM0452-MONOMER,peptidylprolyl isomerase,STM0452,CCO-MEMBRANE
STM3903-MONOMER,branched chain amino acid aminotransferase,STM3903,CCI-CYTOSOL-GN
STM2245-MONOMER,lipid A 3-O-deacylase,STM2245,
STM1243-MONOMER,cold-shock protein,STM1243,CCI-CYTOSOL-GN
STM3005-MONOMER,DNA mismatch repair endonuclease,STM3005,CCI-CYTOSOL-GN
STM4297-MONOMER,transcriptional regulator,STM4297,
STM2622-MONOMER,Gifsy-1 prophage protein,STM2622,
STM1619-MONOMER,aminoglycoside 6'-acetyltransferase,STM1619,
STM0717-MONOMER,putative inner membrane protein,STM0717,CCO-MEMBRANE
STM0195-MONOMER,fimbrial protein,STM0195,CCI-PILUS-GN
STM3381-MONOMER,putative inner membrane protein,STM3381,CCO-MEMBRANE
STM1995-MONOMER,putative porin,STM1995,CCI-OUTER-MEM-GN
STM3757-MONOMER,autotransporter outer membrane beta-barrel domain-containing protein,STM3757,CCO-MEMBRANE
STM2369-MONOMER,putative aspartate-semialdehyde dehydrogenase,STM2369,CCI-CYTOSOL-GN
STM1101-MONOMER,4-hydroxyphenylacetate degradation protein,STM1101,
STM3131-MONOMER,type VI secretion effector protein,STM3131,
STM1479-MONOMER,NAD(P) transhydrogenase subunit alpha,STM1479,CCI-PM-BAC-NEG-GN
STM2754-MONOMER,hexulose-6-phosphate synthase,STM2754,
STM0056-MONOMER,oxaloacetate decarboxylase subunit gamma,STM0056,CCI-PM-BAC-NEG-GN
STM0849-MONOMER,glutathione ABC transporter substrate-binding protein,STM0849,CCI-PM-BAC-NEG-GN // CCI-PERI-BAC-GN
STM4157-MONOMER,putative cytoplasmic protein,STM4157,CCI-EXTRACELLULAR-GN
STM3511-MONOMER,Fe-S biogenesis protein,STM3511,
STM4531-MONOMER,putative cytoplasmic protein,STM4531,
STM3879-MONOMER,ATPase,STM3879,CCI-CYTOSOL-GN
STM1851-MONOMER,putative cytoplasmic protein,STM1851,
STM1227-MONOMER,aminotripeptidase,STM1227,CCI-CYTOSOL-GN
STM0436A-MONOMER,IS903 transposase,STM0436A,
STM1603-MONOMER,putative periplasmic protein,STM1603,
STM2228-MONOMER,Inner membrane protein,STM2228,CCI-PM-BAC-NEG-GN
STM0179-MONOMER,putative xylanase/chitin deacetylase,STM0179,
STM2987-MONOMER,tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase,STM2987,CCO-MEMBRANE
STM1977-MONOMER,flagellar motor switch protein,STM1977,CCI-PM-BAC-NEG-GN // CCO-CELL-PROJECTION
STM2605-MONOMER,Gifsy-1 prophage protein,STM2605,
STM2353-MONOMER,histidine transport system permease protein,STM2353,CCI-PM-BAC-NEG-GN
STM0701-MONOMER,ornithine decarboxylase,STM0701,CCI-CYTOSOL-GN
STM3114-MONOMER,ornithine decarboxylase,STM3114,CCI-CYTOSOL-GN
STM3365-MONOMER,p-hydroxybenzoic acid efflux pump subunit,STM3365,CCI-PM-BAC-NEG-GN
STM2738-MONOMER,Fels-2 prophage protein,STM2738,
STM3740-MONOMER,guanylate kinase,STM3740,CCI-CYTOSOL-GN
STM0833-MONOMER,outer membrane protein,STM0833,CCI-OUTER-MEM-GN
STM1084-MONOMER,sulfurtransferase,STM1084,CCI-CYTOSOL-GN
STM3495-MONOMER,Intracellular growth attenuator protein igaA,STM3495,CCI-CW-BAC-NEG-GN // CCI-PM-BAC-NEG-GN
STM1460-MONOMER,putative inner membrane protein,STM1460,CCO-MEMBRANE
STM3863-MONOMER,putative permease,STM3863,CCI-PM-BAC-NEG-GN
STM0040-MONOMER,transcriptional activator of nhaA,STM0040,
STM1211-MONOMER,respiratory NADH dehydrogenase 2,STM1211,
STM4130-MONOMER,vitamin B12 transporter,STM4130,CCI-OUTER-MEM-GN
STM1587-MONOMER,TonB-dependent receptor,STM1587,CCI-OUTER-MEM-GN
STM4515-MONOMER,MFS transporter,STM4515,CCI-PM-BAC-NEG-GN
STM0163-MONOMER,4-phospho-D-tetronate 3-dehydrogenase,STM0163,
STM1835-MONOMER,23S rRNA (guanine(745)-N(1))-methyltransferase,STM1835,
STM4268-MONOMER,permease,STM4268,CCI-PM-BAC-NEG-GN
STM0420-MONOMER,phosphatidylglycerophosphatase A,STM0420,CCI-PM-BAC-NEG-GN
STM1961-MONOMER,flagellar export chaperone,STM1961,CCI-CYTOSOL-GN
STM2212-MONOMER,putative cobalamin synthesis protein,STM2212,
STM2337-MONOMER,acetate kinase,STM2337,CCI-CYTOSOL-GN
STM2970-MONOMER,HAAAP family serine/threonine permease,STM2970,CCI-PM-BAC-NEG-GN
STM3098-MONOMER,putative transcriptional regulator,STM3098,
STM2589-MONOMER,Gifsy-1 prophage protein,STM2589,
STM2721-MONOMER,Fels-2 prophage protein,STM2721,
STM0684-MONOMER,glucosamine-6-phosphate deaminase,STM0684,CCI-CYTOSOL-GN
STM0816-MONOMER,ABC transporter permease,STM0816,CCI-PM-BAC-NEG-GN
STM3349-MONOMER,stress sensor serine endopeptidase,STM3349,
STM3479-MONOMER,IS200 family transposase,STM3479,
STM3724-MONOMER,3-deoxy-D-manno-octulosonic acid transferase,STM3724,CCI-PM-BAC-NEG-GN
STM3847-MONOMER,multidrug transporter subunit,STM3847,CCI-PM-BAC-NEG-GN
STM1068-MONOMER,Lon protease,STM1068,
STM1195-MONOMER,3-oxoacyl-ACP reductase,STM1195,
STM1444-MONOMER,MarR family transcriptional regulator for hemolysin,STM1444,
STM1571-MONOMER,putative permease,STM1571,CCO-MEMBRANE
STM0024-MONOMER,fimbrial protein,STM0024,CCI-PILUS-GN
STM0147-MONOMER,regulatory signaling modulator protein,STM0147,CCI-PM-BAC-NEG-GN
STM4113-MONOMER,PTS fructose-specific transporter subunit EIIB,STM4113,CCI-PM-BAC-NEG-GN
STM4252-MONOMER,putative inner membrane protein,STM4252,
STM4499-MONOMER,putative cytoplasmic protein,STM4499,
STM1945-MONOMER,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,STM1945,CCI-PM-BAC-NEG-GN
STM1819-MONOMER,putative outer membrane protein,STM1819,CCO-MEMBRANE
STM2321-MONOMER,NADH-quinone oxidoreductase subunit I,STM2321,CCI-PM-BAC-NEG-GN
STM0404-MONOMER,S-adenosylmethionine-tRNA ribosyltransferase-isomerase,STM0404,CCI-CYTOSOL-GN
STM3082-MONOMER,galactonate oxidoreductase,STM3082,
STM2195-MONOMER,putative transcriptional regulator,STM2195,
STM2705-MONOMER,Fels-2 prophage protein,STM2705,
STM2953-MONOMER,CTP synthase,STM2953,CCI-CYTOSOL-GN
STM0799-MONOMER,putative cytoplasmic protein,STM0799,
STM2574-MONOMER,MFS transporter,STM2574,CCI-PM-BAC-NEG-GN
STM3463-MONOMER,hypothetical protein,STM3463,
STM0661-MONOMER,pyrimidine-specific ribonucleoside hydrolase,STM0661,CCI-CYTOSOL-GN
STM3830-MONOMER,galactonate operon transcriptional repressor,STM3830,
